lat,lon,fao,is_eez
-87.5,-177.5,,0
-87.5,-172.5,,0
-87.5,-167.5,,0
-87.5,-162.5,,0
-87.5,-157.5,,0
-87.5,-152.5,,0
-87.5,-147.5,,0
-87.5,-142.5,,0
-87.5,-137.5,,0
-87.5,-132.5,,0
-87.5,-127.5,,0
-87.5,-122.5,,0
-87.5,-117.5,,0
-87.5,-112.5,,0
-87.5,-107.5,,0
-87.5,-102.5,,0
-87.5,-97.5,,0
-87.5,-92.5,,0
-87.5,-87.5,,0
-87.5,-82.5,,0
-87.5,-77.5,,0
-87.5,-72.5,,0
-87.5,-67.5,,0
-87.5,-62.5,,0
-87.5,-57.5,,0
-87.5,-52.5,,0
-87.5,-47.5,,0
-87.5,-42.5,,0
-87.5,-37.5,,0
-87.5,-32.5,,0
-87.5,-27.5,,0
-87.5,-22.5,,0
-87.5,-17.5,,0
-87.5,-12.5,,0
-87.5,-7.5,,0
-87.5,-2.5,,0
-87.5,2.5,,0
-87.5,7.5,,0
-87.5,12.5,,0
-87.5,17.5,,0
-87.5,22.5,,0
-87.5,27.5,,0
-87.5,32.5,,0
-87.5,37.5,,0
-87.5,42.5,,0
-87.5,47.5,,0
-87.5,52.5,,0
-87.5,57.5,,0
-87.5,62.5,,0
-87.5,67.5,,0
-87.5,72.5,,0
-87.5,77.5,,0
-87.5,82.5,,0
-87.5,87.5,,0
-87.5,92.5,,0
-87.5,97.5,,0
-87.5,102.5,,0
-87.5,107.5,,0
-87.5,112.5,,0
-87.5,117.5,,0
-87.5,122.5,,0
-87.5,127.5,,0
-87.5,132.5,,0
-87.5,137.5,,0
-87.5,142.5,,0
-87.5,147.5,,0
-87.5,152.5,,0
-87.5,157.5,,0
-87.5,162.5,,0
-87.5,167.5,,0
-87.5,172.5,,0
-87.5,177.5,,0
-82.5,-177.5,88.0,1
-82.5,-172.5,88.0,1
-82.5,-167.5,88.0,1
-82.5,-162.5,88.0,1
-82.5,-157.5,88.0,1
-82.5,-152.5,88.0,0
-82.5,-147.5,,0
-82.5,-142.5,,0
-82.5,-137.5,,0
-82.5,-132.5,,0
-82.5,-127.5,,0
-82.5,-122.5,,0
-82.5,-117.5,,0
-82.5,-112.5,,0
-82.5,-107.5,,0
-82.5,-102.5,,0
-82.5,-97.5,,0
-82.5,-92.5,,0
-82.5,-87.5,,0
-82.5,-82.5,,0
-82.5,-77.5,,0
-82.5,-72.5,,0
-82.5,-67.5,,0
-82.5,-62.5,,0
-82.5,-57.5,48.0,1
-82.5,-52.5,,0
-82.5,-47.5,,0
-82.5,-42.5,,0
-82.5,-37.5,,0
-82.5,-32.5,,0
-82.5,-27.5,,0
-82.5,-22.5,,0
-82.5,-17.5,,0
-82.5,-12.5,,0
-82.5,-7.5,,0
-82.5,-2.5,,0
-82.5,2.5,,0
-82.5,7.5,,0
-82.5,12.5,,0
-82.5,17.5,,0
-82.5,22.5,,0
-82.5,27.5,,0
-82.5,32.5,,0
-82.5,37.5,,0
-82.5,42.5,,0
-82.5,47.5,,0
-82.5,52.5,,0
-82.5,57.5,,0
-82.5,62.5,,0
-82.5,67.5,,0
-82.5,72.5,,0
-82.5,77.5,,0
-82.5,82.5,,0
-82.5,87.5,,0
-82.5,92.5,,0
-82.5,97.5,,0
-82.5,102.5,,0
-82.5,107.5,,0
-82.5,112.5,,0
-82.5,117.5,,0
-82.5,122.5,,0
-82.5,127.5,,0
-82.5,132.5,,0
-82.5,137.5,,0
-82.5,142.5,,0
-82.5,147.5,,0
-82.5,152.5,,0
-82.5,157.5,,0
-82.5,162.5,,1
