year,iso3,port_name,label,vessel_class,type,flag,is_pacific_rim,is_psma_port,is_psma_state,n_visits,n_visits_fishing_vessel,n_visits_fishing_vessel_hs,n_visits_support_vessel,n_visits_support_vessel_hs
2024,CHN,,CHN-2370,carrier,domestic,CHN,1,0,0,6,0,0,6,1
2024,CHN,,PINGYUAN,carrier,domestic,CHN,1,0,0,5,0,0,5,0
2024,CHN,,CHN-2094,fishing,domestic,CHN,1,0,0,5,5,0,0,0
2024,CHN,,NANHUI,fishing,domestic,CHN,1,0,0,27,27,0,0,0
2024,CHN,,YANTAI,carrier,domestic,CHN,1,0,0,20,0,0,20,0
2024,CHN,,CHN-277,bunker,domestic,CHN,1,0,0,8,0,0,8,0
2024,CHN,,WEITOU,bunker,domestic,CHN,1,0,0,7,0,0,7,0
2024,CHN,,CHANGHAI,bunker,domestic,CHN,1,0,0,45,0,0,45,0
2024,CHN,,CHN-1900,bunker,domestic,CHN,1,0,0,7,0,0,7,0
2024,CHN,,CHN-1967,bunker,domestic,CHN,1,0,0,14,0,0,14,0
2024,CHN,,CHN-2505,fishing,domestic,CHN,1,0,0,11,11,0,0,0
2024,CHN,,CHN-184,bunker,domestic,CHN,1,0,0,7,0,0,7,0
2024,CHN,,CHN-2171,bunker,domestic,CHN,1,0,0,3,0,0,3,0
2024,CHN,,KAOLAOTOU,fishing,domestic,CHN,1,0,0,20,20,0,0,0
2024,CHN,,CHN-2430,bunker,domestic,CHN,1,0,0,6,0,0,6,0
2024,CHN,,CHN-887,bunker,domestic,CHN,1,0,0,4,0,0,4,0
2024,CHN,,MAOMING ANCHORAGE,fishing,domestic,CHN,1,0,0,49,49,0,0,0
2024,CHN,,CHN-2154,fishing,domestic,CHN,1,0,0,36,36,0,0,0
2024,CHN,,CHN-173,fishing,domestic,CHN,1,0,0,19,19,0,0,0
2024,CHN,,CHN-76,bunker,domestic,CHN,1,0,0,3,0,0,3,0
2024,CHN,,HAIYANG,fishing,domestic,CHN,1,0,0,55,55,0,0,0
2024,CHN,,CHN-1851,fishing,domestic,CHN,1,0,0,102,102,0,0,0
2024,CHN,,CHN-2400,fishing,domestic,CHN,1,0,0,17,17,0,0,0
2024,CHN,,CHN-1243,bunker,domestic,CHN,1,0,0,15,0,0,15,0
2024,CHN,,CHN-2257,fishing,domestic,CHN,1,0,0,59,59,0,0,0
2024,CHN,,CHN-2445,fishing,domestic,CHN,1,0,0,30,30,0,0,0
2024,CHN,,CHN-1828,fishing,domestic,CHN,1,0,0,9,9,0,0,0
2024,CHN,,HUIZHOU,carrier,domestic,CHN,1,0,0,2,0,0,2,0
2024,CHN,,CHN-1846,fishing,domestic,CHN,1,0,0,14,14,0,0,0
2024,CHN,,CHN-1251,bunker,domestic,CHN,1,0,0,3,0,0,3,0
2024,CHN,,XIUYU,bunker,domestic,CHN,1,0,0,21,0,0,21,0
2024,CHN,,DONGFANG,fishing,domestic,CHN,1,0,0,15,15,0,0,0
2024,CHN,,CHN-2418,bunker,domestic,CHN,1,0,0,29,0,0,29,0
2024,CHN,,CHN-1340,bunker,domestic,CHN,1,0,0,28,0,0,28,0
2024,CHN,,CHN-2148,fishing,domestic,CHN,1,0,0,37,37,0,0,0
2024,CHN,,CHN-2369,fishing,domestic,CHN,1,0,0,2,2,0,0,0
2024,CHN,,CHN-76,fishing,domestic,CHN,1,0,0,20,20,0,0,0
2024,CHN,,CHN-429,bunker,domestic,CHN,0,0,0,2,0,0,2,0
2024,CHN,,CHN-142,fishing,domestic,CHN,1,0,0,24,24,0,0,0
2024,CHN,,CHN-2296,bunker,domestic,CHN,1,0,0,30,0,0,30,0
2024,CHN,,CHN-705,bunker,domestic,CHN,0,0,0,4,0,0,4,0
2024,CHN,,CHN-169,fishing,domestic,CHN,1,0,0,49,49,0,0,0
2024,CHN,,CHN-1295,bunker,domestic,CHN,0,0,0,6,0,0,6,0
2024,CHN,,CHN-1782,fishing,domestic,CHN,1,0,0,8,8,0,0,0
2024,CHN,,CHN-2142,bunker,domestic,CHN,1,0,0,7,0,0,7,0
2024,CHN,,CHN-2016,fishing,domestic,CHN,1,0,0,15,15,0,0,0
2024,CHN,,CHN-1240,fishing,domestic,CHN,1,0,0,4,4,0,0,0
2024,CHN,,CHN-2110,carrier,domestic,CHN,1,0,0,6,0,0,6,0
2024,CHN,,CHN-2167,bunker,domestic,CHN,1,0,0,21,0,0,21,0
2024,CHN,,CHN-2539,bunker,domestic,CHN,1,0,0,2,0,0,2,0
2024,CHN,,CHN-735,bunker,domestic,CHN,1,0,0,4,0,0,4,0
2024,CHN,,JIEYANG,bunker,domestic,CHN,1,0,0,9,0,0,9,0
2024,CHN,,CHN-2450,bunker,domestic,CHN,1,0,0,23,0,0,23,0
2024,CHN,,FUZHOU,carrier,domestic,CHN,1,0,0,19,0,0,19,0
2024,CHN,,CHN-1075,bunker,domestic,CHN,0,0,0,2,0,0,2,0
2024,CHN,,NANJING,bunker,domestic,CHN,1,0,0,22,0,0,22,0
2024,CHN,,SHANWEI,carrier,domestic,CHN,1,0,0,2,0,0,2,0
2024,CHN,,RONGCHENG,bunker,domestic,CHN,1,0,0,2,0,0,2,0
2024,CHN,,CHN-2062,bunker,domestic,CHN,1,0,0,3,0,0,3,0
2024,CHN,,CHN-196,fishing,domestic,CHN,1,0,0,15,15,0,0,0
