FID_1,LATITUDE,LONGITUDE,FID_2,F_AREA
0,-87.50000000000,-177.50000000000,0,
1,-87.50000000000,-172.50000000000,0,
2,-87.50000000000,-167.50000000000,0,
3,-87.50000000000,-162.50000000000,0,
4,-87.50000000000,-157.50000000000,0,
5,-87.50000000000,-152.50000000000,0,
6,-87.50000000000,-147.50000000000,0,
7,-87.50000000000,-142.50000000000,0,
8,-87.50000000000,-137.50000000000,0,
9,-87.50000000000,-132.50000000000,0,
10,-87.50000000000,-127.50000000000,0,
11,-87.50000000000,-122.50000000000,0,
12,-87.50000000000,-117.50000000000,0,
13,-87.50000000000,-112.50000000000,0,
14,-87.50000000000,-107.50000000000,0,
15,-87.50000000000,-102.50000000000,0,
16,-87.50000000000,-97.50000000000,0,
17,-87.50000000000,-92.50000000000,0,
18,-87.50000000000,-87.50000000000,0,
19,-87.50000000000,-82.50000000000,0,
20,-87.50000000000,-77.50000000000,0,
21,-87.50000000000,-72.50000000000,0,
22,-87.50000000000,-67.50000000000,0,
23,-87.50000000000,-62.50000000000,0,
24,-87.50000000000,-57.50000000000,0,
25,-87.50000000000,-52.50000000000,0,
26,-87.50000000000,-47.50000000000,0,
27,-87.50000000000,-42.50000000000,0,
28,-87.50000000000,-37.50000000000,0,
29,-87.50000000000,-32.50000000000,0,
30,-87.50000000000,-27.50000000000,0,
31,-87.50000000000,-22.50000000000,0,
32,-87.50000000000,-17.50000000000,0,
33,-87.50000000000,-12.50000000000,0,
34,-87.50000000000,-7.50000000000,0,
35,-87.50000000000,-2.50000000000,0,
36,-87.50000000000,2.50000000000,0,
37,-87.50000000000,7.50000000000,0,
38,-87.50000000000,12.50000000000,0,
39,-87.50000000000,17.50000000000,0,
40,-87.50000000000,22.50000000000,0,
41,-87.50000000000,27.50000000000,0,
42,-87.50000000000,32.50000000000,0,
43,-87.50000000000,37.50000000000,0,
44,-87.50000000000,42.50000000000,0,
45,-87.50000000000,47.50000000000,0,
46,-87.50000000000,52.50000000000,0,
47,-87.50000000000,57.50000000000,0,
48,-87.50000000000,62.50000000000,0,
49,-87.50000000000,67.50000000000,0,
50,-87.50000000000,72.50000000000,0,
51,-87.50000000000,77.50000000000,0,
52,-87.50000000000,82.50000000000,0,
53,-87.50000000000,87.50000000000,0,
54,-87.50000000000,92.50000000000,0,
55,-87.50000000000,97.50000000000,0,
56,-87.50000000000,102.50000000000,0,
57,-87.50000000000,107.50000000000,0,
58,-87.50000000000,112.50000000000,0,
59,-87.50000000000,117.50000000000,0,
60,-87.50000000000,122.50000000000,0,
61,-87.50000000000,127.50000000000,0,
62,-87.50000000000,132.50000000000,0,
63,-87.50000000000,137.50000000000,0,
64,-87.50000000000,142.50000000000,0,
65,-87.50000000000,147.50000000000,0,
66,-87.50000000000,152.50000000000,0,
67,-87.50000000000,157.50000000000,0,
68,-87.50000000000,162.50000000000,0,
69,-87.50000000000,167.50000000000,0,
70,-87.50000000000,172.50000000000,0,
71,-87.50000000000,177.50000000000,0,
78,-82.50000000000,-147.50000000000,0,
79,-82.50000000000,-142.50000000000,0,
80,-82.50000000000,-137.50000000000,0,
81,-82.50000000000,-132.50000000000,0,
82,-82.50000000000,-127.50000000000,0,
83,-82.50000000000,-122.50000000000,0,
84,-82.50000000000,-117.50000000000,0,
85,-82.50000000000,-112.50000000000,0,
86,-82.50000000000,-107.50000000000,0,
87,-82.50000000000,-102.50000000000,0,
88,-82.50000000000,-97.50000000000,0,
89,-82.50000000000,-92.50000000000,0,
90,-82.50000000000,-87.50000000000,0,
91,-82.50000000000,-82.50000000000,0,
92,-82.50000000000,-77.50000000000,0,
93,-82.50000000000,-72.50000000000,0,
94,-82.50000000000,-67.50000000000,0,
95,-82.50000000000,-62.50000000000,0,
97,-82.50000000000,-52.50000000000,0,
98,-82.50000000000,-47.50000000000,0,
99,-82.50000000000,-42.50000000000,0,
100,-82.50000000000,-37.50000000000,0,
101,-82.50000000000,-32.50000000000,0,
102,-82.50000000000,-27.50000000000,0,
103,-82.50000000000,-22.50000000000,0,
104,-82.50000000000,-17.50000000000,0,
105,-82.50000000000,-12.50000000000,0,
106,-82.50000000000,-7.50000000000,0,
107,-82.50000000000,-2.50000000000,0,
108,-82.50000000000,2.50000000000,0,
109,-82.50000000000,7.50000000000,0,
110,-82.50000000000,12.50000000000,0,
111,-82.50000000000,17.50000000000,0,
112,-82.50000000000,22.50000000000,0,
113,-82.50000000000,27.50000000000,0,
114,-82.50000000000,32.50000000000,0,
115,-82.50000000000,37.50000000000,0,
116,-82.50000000000,42.50000000000,0,
117,-82.50000000000,47.50000000000,0,
118,-82.50000000000,52.50000000000,0,
119,-82.50000000000,57.50000000000,0,
120,-82.50000000000,62.50000000000,0,
121,-82.50000000000,67.50000000000,0,
122,-82.50000000000,72.50000000000,0,
123,-82.50000000000,77.50000000000,0,
124,-82.50000000000,82.50000000000,0,
125,-82.50000000000,87.50000000000,0,
126,-82.50000000000,92.50000000000,0,
127,-82.50000000000,97.50000000000,0,
128,-82.50000000000,102.50000000000,0,
129,-82.50000000000,107.50000000000,0,
130,-82.50000000000,112.50000000000,0,
131,-82.50000000000,117.50000000000,0,
132,-82.50000000000,122.50000000000,0,
133,-82.50000000000,127.50000000000,0,
134,-82.50000000000,132.50000000000,0,
135,-82.50000000000,137.50000000000,0,
136,-82.50000000000,142.50000000000,0,
137,-82.50000000000,147.50000000000,0,
138,-82.50000000000,152.50000000000,0,
139,-82.50000000000,157.50000000000,0,
140,-82.50000000000,162.50000000000,0,
148,-77.50000000000,-157.50000000000,0,
149,-77.50000000000,-152.50000000000,0,
150,-77.50000000000,-147.50000000000,0,
151,-77.50000000000,-142.50000000000,0,
152,-77.50000000000,-137.50000000000,0,
153,-77.50000000000,-132.50000000000,0,
154,-77.50000000000,-127.50000000000,0,
155,-77.50000000000,-122.50000000000,0,
156,-77.50000000000,-117.50000000000,0,
157,-77.50000000000,-112.50000000000,0,
158,-77.50000000000,-107.50000000000,0,
159,-77.50000000000,-102.50000000000,0,
160,-77.50000000000,-97.50000000000,0,
161,-77.50000000000,-92.50000000000,0,
