country,length_km,year
Canada,202080.0,2018
Norway,83281.0,2018
Indonesia,54716.0,2018
Greenland,44087.0,2018
Russia,37653.0,2018
Philippines,36289.0,2018
Japan,29751.0,2018
Australia,25957.0,2018
United States of America,19924.0,2018
Antarctica,17968.0,2018
New Zealand,15134.0,2018
China,14500.0,2018
Greece,13676.0,2018
United Kingdom of Great Britain and Northern Ireland,12429.0,2018
Mexico,9330.0,2018
Italy,7600.0,2018
Brazil,7491.0,2018
Denmark,7314.0,2018
Turkey,7200.0,2018
India,7000.0,2018
Chile,6435.0,2018
Micronesia,6112.0,2018
Croatia,5835.0,2018
Solomon Islands,5313.0,2018
Papua New Guinea,5152.0,2018
Argentina,4989.0,2018
Iceland,4970.0,2018
Spain,4964.0,2018
Madagascar,4828.0,2018
Malaysia,4675.0,2018
Estonia,3794.0,2018
Cuba,3735.0,2018
Svalbard,3587.0,2018
Bahamas,3542.0,2018
Vietnam,3444.0,2018
France,3427.0,2018
Thailand,3219.0,2018
Sweden,3218.0,2018
Colombia,3208.0,2018
Coral Sea Islands,3095.0,2018
Somalia,3025.0,2018
French Southern and Antarctic Lands,2948.0,2018
Venezuela,2800.0,2018
South Africa,2798.0,2018
Ukraine,2782.0,2018
Saudi Arabia,2640.0,2018
Vanuatu,2528.0,2018
French Polynesia,2525.0,2018
Korea (North),2495.0,2018
Panama,2490.0,2018
Mozambique,2470.0,2018
Egypt,2450.0,2018
Iran,2440.0,2018
Peru,2414.0,2018
Korea (South),2413.0,2018
Germany,2389.0,2018
New Caledonia,2254.0,2018
Ecuador,2237.0,2018
Eritrea,2234.0,2018
Oman,2092.0,2018
Myanmar (Burma),1930.0,2018
Yemen,1906.0,2018
Morocco,1835.0,2018
Portugal,1793.0,2018
Haiti,1771.0,2018
Libya,1770.0,2018
Angola,1600.0,2018
Namibia,1572.0,2018
Taiwan,1566.3,2018
Palau,1519.0,2018
Northern Mariana Islands,1482.0,2018
Ireland,1448.0,2018
Tanzania,1424.0,2018
Sri Lanka,1340.0,2018
United Arab Emirates,1318.0,2018
Costa Rica,1290.0,2018
Dominican Republic,1288.0,2018
Falkland Islands,1288.0,2018
Finland,1250.0,2018
Tunisia,1148.0,2018
Kiribati,1143.0,2018
Fiji,1129.0,2018
Faroe Islands,1117.0,2018
Western Sahara,1110.0,2018
Pakistan,1046.0,2018
Jamaica,1022.0,2018
Algeria,998.0,2018
Cape Verde,965.0,2018
Spratly Islands,926.0,2018
Nicaragua,910.0,2018
Gabon,885.0,2018
Nigeria,853.0,2018
Sudan,853.0,2018
Honduras,823.0,2018
Mauritania,754.0,2018
Hong Kong,733.0,2018
East Timor,706.0,2018
British Indian Ocean Territory,698.0,2018
Uruguay,660.0,2018
Cyprus,648.0,2018
Maldives,644.0,2018
Bangladesh,580.0,2018
Liberia,579.0,2018
Qatar,563.0,2018
Ghana,539.0,2018
Kenya,536.0,2018
Senegal,531.0,2018
Paracel Islands,518.0,2018
Côte d'Ivoire (Ivory Coast),515.0,2018
Puerto Rico,501.0,2018
Kuwait,499.0,2018
Latvia,498.0,2018
Seychelles,491.0,2018
Guyana,459.0,2018
Netherlands,451.0,2018
Cambodia,443.0,2018
Poland,440.0,2018
Tonga,419.0,2018
Samoa,403.0,2018
Cameroon,402.0,2018
Sierra Leone,402.0,2018
Guatemala,400.0,2018
Turks and Caicos Islands,389.0,2018
Belize,386.0,2018
Suriname,386.0,2018
Marshall Islands,370.4,2018
Curacao,364.0,2018
Albania,362.0,2018
Trinidad and Tobago,362.0,2018
Bulgaria,354.0,2018
Guinea-Bissau,350.0,2018
Comoros,340.0,2018
Guinea,320.0,2018
Djibouti,314.0,2018
Georgia,310.0,2018
El Salvador,307.0,2018
Equatorial Guinea,296.0,2018
Montenegro,293.5,2018
Israel,273.0,2018
Malta,253.0,2018
Lebanon,225.0,2018
Romania,225.0,2018
São Tomé and Príncipe,209.0,2018
Singapore,193.0,2018
Syria,193.0,2018
Virgin Islands of the U.S.,188.0,2018
"Saint Helena, Ascension and Tristan da Cunha",180.0,2018
Mauritius,177.0,2018
Congo (Republic),169.0,2018
Bahrain,161.0,2018
Brunei,161.0,2018
Cayman Islands,160.0,2018
Isle of Man,160.0,2018
Saint Lucia,158.0,2018
Antigua and Barbuda,153.0,2018
Dominica,148.0,2018
Saint Kitts and Nevis,135.0,2018
Wallis and Futuna,129.0,2018
Guam,125.5,2018
Jan Mayen,124.1,2018
Benin,121.0,2018
Grenada,121.0,2018
Cook Islands,120.0,2018
Saint Pierre and Miquelon,120.0,2018
American Samoa,116.0,2018
Bermuda,103.0,2018
Heard Island and McDonald Islands,101.9,2018
Tokelau,101.0,2018
Barbados,97.0,2018
Lithuania,90.0,2018
U.S. Pacific Island Wildlife Refuges,85.7,2018
Saint Vincent and the Grenadines,84.0,2018
British Virgin Islands,80.0,2018
Gambia,80.0,2018
Ashmore and Cartier Islands,74.1,2018
Jersey,70.0,2018
Aruba,68.5,2018
Belgium,66.5,2018
Niue,64.0,2018
Anguilla,61.0,2018
Iraq,58.0,2018
Togo,56.0,2018
Pitcairn,51.0,2018
Guernsey,50.0,2018
Slovenia,46.6,2018
Macau,41.0,2018
Montserrat,40.0,2018
Palestinian Territories,40.0,2018
Congo (Democratic Republic),37.0,2018
Saint Martin,31.0,2018
Nauru,30.0,2018
Bouvet Island,29.6,2018
Sint Maarten,28.0,2018
Jordan,26.0,2018
Tuvalu,24.0,2018
Bosnia and Herzegovina,20.0,2018
Wake Island,19.3,2018
Gibraltar,12.0,2018
Clipperton Island,11.1,2018
Navassa Island,8.0,2018
Monaco,4.1,2018
Afghanistan,0.0,2018
Andorra,0.0,2018
Armenia,0.0,2018
Austria,0.0,2018
Azerbaijan,0.0,2018
Belarus,0.0,2018
Bhutan,0.0,2018
Bolivia,0.0,2018
Botswana,0.0,2018
Burkina Faso,0.0,2018
Burundi,0.0,2018
Central African Republic,0.0,2018
Chad,0.0,2018
Czech Republic,0.0,2018
Eswatini,0.0,2018
Ethiopia,0.0,2018
Hungary,0.0,2018
Kazakhstan,0.0,2018
Kosovo,0.0,2018
Kyrgyzstan,0.0,2018
Laos,0.0,2018
Lesotho,0.0,2018
Liechtenstein,0.0,2018
Luxembourg,0.0,2018
Malawi,0.0,2018
Mali,0.0,2018
Moldova,0.0,2018
Mongolia,0.0,2018
Nepal,0.0,2018
Niger,0.0,2018
North Macedonia,0.0,2018
Paraguay,0.0,2018
Rwanda,0.0,2018
San Marino,0.0,2018
Serbia,0.0,2018
Slovakia,0.0,2018
South Sudan,0.0,2018
Switzerland,0.0,2018
Tajikistan,0.0,2018
Turkmenistan,0.0,2018
Uganda,0.0,2018
Uzbekistan,0.0,2018
Vatican City,0.0,2018
Zambia,0.0,2018
Zimbabwe,0.0,2018
